Periodo;Provincia;TODOS LOS REGIMENES Total Sexo;TODOS LOS REGIMENES Mujer;TODOS LOS REGIMENES Varon;REGIMEN GENERAL Total Sexo;REGIMEN GENERAL Mujer;REGIMEN GENERAL Varon;R.G.(S.E.AGRARIO) Total Sexo;R.G.(S.E.AGRARIO) Mujer;R.G.(S.E.AGRARIO) Varon;R.G.(S.E. EM. HOGAR) Total Sexo;R.G.(S.E. EM. HOGAR) Mujer;R.G.(S.E. EM. HOGAR) Varon;R.E.AUTONOMOS (NO SETA) Total Sexo;R.E.AUTONOMOS (NO SETA) Mujer;R.E.AUTONOMOS (NO SETA) Varon;REG.E. AUTONOMOS (SETA) Total Sexo;REG.E. AUTONOMOS (SETA) Mujer;REG.E. AUTONOMOS (SETA) Varon;R.E.MAR(CUENTA AJENA) Total Sexo;R.E.MAR(CUENTA AJENA) Mujer;R.E.MAR(CUENTA AJENA) Varon;R.E.MAR(C. PROPIA) Total Sexo;R.E.MAR(C. PROPIA) Mujer;R.E.MAR(C. PROPIA) Varon;R.E. MINERIA CARBON Total Sexo;R.E. MINERIA CARBON Mujer;R.E. MINERIA CARBON Varon
201201;Total Nacional;16958267.14;7767134.33;9191050.71;12695563.00;6081060.95;6614453.14;857542.52;359312.14;498226.38;296564.24;276310.71;20238.33;2842114.67;972027.43;1870076.24;201835.43;69004.76;132828.67;45320.29;3766.05;41553.24;13729.38;5296.33;8433.05;5597.62;355.95;5241.67
201201;1. Alava;149666.00;64484.43;85178.24;124574.10;55203.48;69368.29;1654.38;208.86;1444.52;1827.90;1677.86;150.05;19398.38;6615.52;12782.86;2211.24;778.71;1432.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201201;2. Albacete;128947.86;53168.00;75779.86;88974.38;41424.19;47550.19;9990.38;2385.48;7604.90;1498.95;1434.00;64.95;25729.76;7514.81;18214.95;2754.38;409.52;2344.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201201;3. Alicante;531571.29;240554.29;291014.00;394682.62;189898.05;204781.57;17568.14;6623.95;10944.19;6973.33;6315.90;657.43;107689.10;36534.95;71154.14;2802.29;942.76;1859.52;1731.86;238.67;1493.19;123.95;0.00;123.95;0.00;0.00;0.00
201201;4. Almeria;252889.90;114921.10;137968.81;149767.52;77091.29;72676.24;48467.48;18074.43;30393.05;1845.52;1756.14;89.38;38479.62;13749.57;24730.05;13427.00;4210.62;9216.38;816.33;34.05;782.29;86.43;5.00;81.43;0.00;0.00;0.00
201201;5. Avila;52131.43;22785.86;29344.57;35262.19;17678.95;17583.24;1335.24;336.81;998.43;734.05;697.14;35.90;12013.67;3590.14;8423.52;2786.29;482.81;2303.48;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201201;6. Badajoz;232200.81;98279.43;133921.38;141958.38;66824.43;75133.95;41957.33;16346.62;25610.71;1236.05;1184.14;51.90;40569.33;12683.52;27885.81;6479.71;1240.71;5239.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201201;7. Baleares;343893.10;157672.19;186219.90;254581.90;123519.05;131062.86;2395.10;382.05;2013.05;9605.10;7901.86;1702.24;74121.14;24942.33;49178.81;1708.62;747.48;961.14;1263.29;171.43;1091.86;217.95;8.00;209.95;0.00;0.00;0.00
201201;8. Barcelona;2258705.00;1069468.52;1189223.81;1830845.10;897999.29;932839.10;5816.67;892.29;4924.38;46441.71;42435.43;4002.33;370048.81;127057.10;242989.71;2897.81;851.95;2045.86;2510.95;223.48;2287.48;143.95;9.00;134.95;0.00;0.00;0.00
201201;9. Burgos;142422.71;60779.14;81640.57;110011.67;49133.86;60874.81;1814.90;293.38;1521.52;1874.10;1795.71;78.38;24004.10;8181.29;15822.81;4717.95;1374.90;3343.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201201;10. Caceres;137378.10;60278.48;77098.62;84256.86;39834.76;44421.10;22034.33;9754.24;12280.10;1140.52;1075.43;65.10;25740.86;8533.52;17207.33;4205.52;1080.52;3125.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201201;11. Cadiz;340599.76;153624.71;186974.05;251882.67;117395.38;134487.29;30310.76;16453.90;13856.86;2804.76;2537.86;265.90;50625.62;16771.76;33853.86;1652.67;376.29;1276.38;3058.38;80.52;2977.86;264.90;9.00;255.90;0.00;0.00;0.00
201201;12. Castellon;212133.00;93356.81;118776.19;152683.62;73430.81;79252.81;14726.86;2096.10;12630.76;2689.57;2590.81;98.76;38597.10;14137.24;24459.86;2528.38;1063.38;1465.00;823.62;35.48;788.14;83.86;3.00;80.86;0.00;0.00;0.00
201201;13. Ciudad Real;161513.62;64149.29;97363.33;112525.43;50624.86;61900.57;12888.10;2095.90;10791.19;1714.43;1645.76;68.67;30037.52;9053.57;20983.95;4247.14;722.19;3524.95;0.00;0.00;0.00;0.00;0.00;0.00;101.00;7.00;94.00
201201;14. Cordoba;290382.90;133974.24;156408.67;158450.38;73518.05;84932.33;80826.76;42710.76;38116.00;2055.76;1960.38;95.38;45788.05;14745.29;31042.76;3228.52;1036.90;2191.62;0.00;0.00;0.00;0.00;0.00;0.00;33.43;2.86;30.57
201201;15. Coruna;404014.57;194372.86;209637.71;301470.95;146988.71;154478.24;1487.33;399.57;1087.76;8353.95;8125.38;228.57;73904.29;28990.81;44913.48;12207.33;8193.24;4014.10;3544.24;209.48;3334.76;3044.38;1465.67;1578.71;2.10;0.00;2.10
201201;16. Cuenca;71491.43;28774.95;42716.48;45034.00;21168.10;23865.90;6467.24;1749.05;4718.19;728.57;705.10;23.48;14217.00;4063.00;10154.00;5044.62;1089.71;3954.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201201;17. Girona;272529.33;123454.90;149074.43;204845.14;98956.38;105888.76;3320.95;400.00;2920.95;4625.52;3950.86;674.67;56426.62;19302.38;37124.24;2178.81;754.52;1424.29;979.62;86.76;892.86;152.67;4.00;148.67;0.00;0.00;0.00
201201;18. Granada;303834.62;148246.95;155586.00;182850.71;90187.24;92662.81;61460.52;35322.86;26136.67;3854.81;3662.67;192.14;52143.81;18137.00;34006.81;3326.71;930.76;2395.95;185.95;6.43;179.52;12.10;0.00;12.10;0.00;0.00;0.00
201201;19. Guadalajara;78145.43;34201.43;43944.00;62382.52;29011.29;33371.24;809.19;77.05;732.14;1018.71;969.81;48.90;12505.33;3951.29;8554.05;1429.67;192.00;1237.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201201;20. Gipuzkoa;300588.14;135442.38;165143.76;224691.76;106302.43;118389.33;525.86;81.10;444.76;5586.05;5297.43;288.62;67624.62;22888.10;44735.52;1528.43;782.57;744.86;538.62;23.95;514.67;92.81;66.81;26.00;0.00;0.00;0.00
